TIME,SEGMENT_ID,SPEED,STREET,DIRECTION,FROM,TO,LENGTH,HEADING,COMMENTS,BUSCOUNT,MESSAGECOUNT,HOUR,DAYOFWEEK,MONTH,RECORDID,LATITUDE,LONGITUDE,ENDLATITUDE,ENDLONGITUDE,STARTLOCATION,ENDLOCATION,Wards
3/21/2018 16:20,238,-1,Roosevelt,WB,Damen,Western,0.5,W,,0,0,16,4,3,0238-201803212120,41.86689178,-87.67624829,41.86674975,-87.68603703,POINT (-87.6762482895 41.8668917757),POINT (-87.6860370294 41.8667497479),46
3/21/2018 16:20,239,15,Roosevelt,WB,Ashland,Damen,0.5,W,,3,18,16,4,3,0239-201803212120,41.86699869,-87.66638213,41.86689178,-87.67624829,POINT (-87.6663821254 41.8669986938),POINT (-87.6762482895 41.8668917757),23
3/21/2018 16:20,211,12,North,WB,Halsted,Elston,0.72,W,,1,13,16,4,3,0211-201803212120,41.91105682,-87.64827011,41.91084334,-87.66215962,POINT (-87.6482701057 41.9110568232),POINT (-87.6621596195 41.910843339),11
3/21/2018 16:20,212,19,North,WB,LaSalle,Halsted,0.78,W,,2,19,16,4,3,0212-201803212120,41.91129948,-87.63314938,41.91105682,-87.64827011,POINT (-87.6331493782 41.9112994848),POINT (-87.6482701057 41.9110568232),11
3/21/2018 16:20,214,34,Roosevelt,EB,Central,Laramie,0.5,W,IDOT Signals Possible,1,4,16,4,3,0214-201803212120,41.86548154,-87.76435482,41.86557615,-87.75456003,POINT (-87.764354818 41.8654815414),POINT (-87.7545600319 41.8655761505),
3/21/2018 16:20,215,-1,Roosevelt,EB,Laramie,Cicero,0.5,W,IDOT Signals Possible,0,0,16,4,3,0215-201803212120,41.86557615,-87.75456003,41.86581344,-87.74476391,POINT (-87.7545600319 41.8655761505),POINT (-87.7447639101 41.8658134419),
3/21/2018 16:20,216,-1,Roosevelt,EB,Cicero,Kostner,0.5,W,IDOT Signals Possible,0,0,16,4,3,0216-201803212120,41.86581344,-87.74476391,41.86589569,-87.73496602,POINT (-87.7447639101 41.8658134419),POINT (-87.7349660246 41.8658956887),
3/21/2018 16:20,217,16,Roosevelt,EB,Kostner,Pulaski,0.5,W,,1,6,16,4,3,0217-201803212120,41.86589569,-87.73496602,41.86603492,-87.72517179,POINT (-87.7349660246 41.8658956887),POINT (-87.7251717904 41.8660349238),14
3/21/2018 16:20,218,17,Roosevelt,EB,Pulaski,Central Park,0.5,W,,2,13,16,4,3,0218-201803212120,41.86603492,-87.72517179,41.8661526,-87.71542211,POINT (-87.7251717904 41.8660349238),POINT (-87.7154221093 41.8661526026),14
3/21/2018 16:20,409,20,79th,EB,Halsted,Vincennes,0.5,W,,4,29,16,4,3,0409-201803212120,41.75050083,-87.64397311,41.75060443,-87.63419685,POINT (-87.6439731098 41.7505008306),POINT (-87.6341968458 41.7506044271),31
3/21/2018 16:20,410,12,79th,EB,Vincennes,State,0.49,W,,7,60,16,4,3,0410-201803212120,41.75060443,-87.63419685,41.75082986,-87.62452762,POINT (-87.6341968458 41.7506044271),POINT (-87.6245276216 41.7508298555),31
3/21/2018 16:20,411,16,79th,EB,State,Dr Martin L King Jr,0.49,E,,5,28,16,4,3,0411-201803212120,41.75082986,-87.62452762,41.75101415,-87.6149133,POINT (-87.6245276216 41.7508298555),POINT (-87.6149133035 41.7510141454),32
